Levels,Environment,Competitive,Classes,Lab,Sports,Toilet,Sports_Competition,Students_per_class,Langugae,Timings,Meetings,Fests,Field_trips,Water,Mid_day_meal,Quality_of_food,Assessment,Region,Happiness
hard,Assessment,highly,8,no,04-May,better,sometimes,21-30,english,5,annually,twice,twice,never,yes,good,weekly,B,3.602387404
easy,knowledge,not,10,yes,02-Mar,hygiene,sometimes,31-40,hindi,6,annually,twice,once,always,no,excellent,monthly,D,8.247431278
easy,Assessment,highly,8,not always,06-Aug,bad,yes,41-50,telugu,6,half yearly,never,once,never,yes,excellent,never,D,8.761206999
hard,Assessment,highly,8,yes,06-Aug,bad,yes,31-40,hindi,6,Quarterly,never,once,always,yes,good,monthly,E,7.463287498
easy,learner,not,6,no,06-Aug,hygiene,never,31-40,telugu,6,annually,never,never,sometimes,yes,can be improved,monthly,J,2.42973226
hard,Assessment,highly,6,not always,04-May,hygiene,sometimes,31-40,telugu,5,half yearly,once,never,always,yes,excellent,monthly,B,2.110163117
hard,knowledge,moderate,6,yes,04-May,hygiene,sometimes,31-40,english,6,Quarterly,never,never,never,yes,can be improved,monthly,J,8.183942069
hard,Assessment,highly,6,no,02-Mar,hygiene,yes,31-40,telugu,6,Quarterly,never,twice,never,yes,good,monthly,H,9.861479999
hard,learner,highly,8,not always,06-Aug,bad,yes,41-50,english,6,annually,once,once,never,yes,can be improved,weekly,C,1.027084496
hard,knowledge,moderate,10,no,06-Aug,better,sometimes,31-40,telugu,5,Quarterly,twice,never,sometimes,no,excellent,weekly,G,3.916635947
easy,learner,moderate,8,yes,02-Mar,better,never,41-50,telugu,6,annually,once,never,never,yes,excellent,never,F,4.652001014
easy,knowledge,highly,8,yes,04-May,bad,never,21-30,hindi,5,Quarterly,twice,once,never,no,excellent,monthly,J,5.642295957
easy,knowledge,not,8,no,04-May,bad,never,21-30,english,5,annually,never,once,always,no,good,weekly,G,1.70757123
hard,Assessment,moderate,10,not always,06-Aug,better,sometimes,21-30,english,5,Quarterly,once,twice,always,no,good,weekly,D,3.030567005
easy,Assessment,moderate,10,no,04-May,better,never,21-30,telugu,6,Quarterly,twice,once,sometimes,yes,good,never,K,1.599289237
hard,learner,highly,10,not always,04-May,hygiene,sometimes,31-40,english,5,half yearly,once,twice,never,yes,good,never,K,1.929978908
hard,Assessment,moderate,10,no,02-Mar,hygiene,yes,41-50,english,6,annually,never,once,never,yes,good,monthly,F,5.810359171
moderate,learner,moderate,10,yes,06-Aug,hygiene,sometimes,41-50,english,7,annually,never,once,never,no,good,weekly,B,3.545811659
hard,Assessment,moderate,8,no,06-Aug,hygiene,yes,21-30,hindi,6,annually,once,twice,always,no,good,weekly,H,3.74214216
hard,knowledge,not,10,yes,02-Mar,hygiene,sometimes,21-30,hindi,6,Quarterly,never,never,sometimes,yes,excellent,weekly,F,8.856264932
easy,Assessment,highly,8,no,06-Aug,better,yes,21-30,english,5,Quarterly,twice,twice,sometimes,no,good,never,K,1.189823385
easy,knowledge,highly,10,yes,06-Aug,hygiene,never,31-40,hindi,6,Quarterly,once,once,never,yes,good,weekly,I,9.752068908
moderate,learner,highly,10,yes,06-Aug,bad,yes,41-50,english,6,Quarterly,once,once,always,no,excellent,weekly,I,5.197607456
hard,learner,highly,10,yes,04-May,bad,sometimes,31-40,telugu,7,annually,twice,never,always,no,excellent,weekly,J,8.283823619
moderate,knowledge,highly,8,yes,04-May,bad,sometimes,21-30,english,7,annually,twice,never,always,yes,good,weekly,C,1.566061213
easy,Assessment,moderate,8,not always,02-Mar,hygiene,yes,31-40,hindi,6,half yearly,once,twice,sometimes,yes,good,monthly,I,5.799548966
easy,knowledge,moderate,6,not always,06-Aug,hygiene,never,31-40,hindi,6,annually,never,twice,never,yes,good,weekly,B,4.624732373
hard,Assessment,moderate,8,no,02-Mar,bad,sometimes,31-40,telugu,6,Quarterly,once,once,sometimes,no,can be improved,monthly,J,1.563384596
moderate,Assessment,moderate,6,no,02-Mar,bad,sometimes,21-30,english,7,Quarterly,once,twice,never,yes,can be improved,monthly,B,8.872385483
moderate,Assessment,highly,10,no,04-May,better,sometimes,41-50,telugu,7,half yearly,once,twice,sometimes,no,good,weekly,K,3.233831058
moderate,knowledge,not,8,not always,06-Aug,better,sometimes,41-50,english,7,Quarterly,twice,never,never,yes,good,weekly,G,5.839178769
moderate,knowledge,moderate,10,yes,06-Aug,hygiene,sometimes,41-50,hindi,7,annually,once,twice,never,no,good,monthly,F,7.037421542
moderate,Assessment,not,8,yes,02-Mar,hygiene,never,41-50,english,7,half yearly,once,never,never,no,can be improved,weekly,E,6.562792819
easy,knowledge,not,8,no,02-Mar,better,yes,21-30,telugu,6,half yearly,twice,never,never,yes,excellent,never,E,5.639154432
easy,Assessment,moderate,10,not always,02-Mar,hygiene,never,31-40,english,6,Quarterly,never,never,sometimes,no,excellent,never,A,2.954700916
easy,knowledge,moderate,6,no,04-May,bad,sometimes,31-40,hindi,5,half yearly,once,once,sometimes,yes,excellent,weekly,B,6.099121044
hard,learner,not,8,no,04-May,better,sometimes,21-30,english,7,Quarterly,once,never,sometimes,no,excellent,never,F,3.799614473
easy,Assessment,not,10,yes,02-Mar,better,sometimes,31-40,english,5,Quarterly,never,once,never,yes,excellent,weekly,F,7.552242439
easy,Assessment,not,6,yes,04-May,better,never,21-30,hindi,7,half yearly,once,once,always,yes,can be improved,weekly,J,7.319489537
easy,Assessment,highly,10,no,06-Aug,hygiene,never,31-40,english,7,half yearly,once,once,never,no,good,weekly,E,4.150023753
hard,learner,not,10,yes,04-May,hygiene,never,21-30,telugu,5,annually,never,never,always,yes,excellent,weekly,J,9.100729653
moderate,learner,highly,6,no,04-May,hygiene,yes,21-30,english,6,Quarterly,never,never,sometimes,yes,good,monthly,H,6.324810306
easy,learner,not,10,not always,06-Aug,hygiene,never,41-50,hindi,7,annually,once,twice,always,no,can be improved,weekly,C,3.820363028
hard,learner,highly,10,yes,06-Aug,better,yes,21-30,hindi,7,annually,once,never,always,no,good,weekly,H,2.284161032
moderate,Assessment,highly,6,no,06-Aug,bad,yes,31-40,english,5,Quarterly,once,once,always,yes,good,monthly,J,7.695596601
easy,knowledge,highly,8,no,04-May,bad,never,41-50,hindi,7,half yearly,twice,twice,always,no,good,monthly,D,4.904616577
hard,knowledge,highly,6,not always,06-Aug,bad,sometimes,31-40,english,6,Quarterly,once,never,sometimes,yes,good,monthly,F,7.484081278
moderate,knowledge,moderate,10,yes,06-Aug,bad,sometimes,31-40,english,5,Quarterly,twice,twice,always,yes,can be improved,weekly,I,2.085001428
easy,knowledge,not,10,not always,06-Aug,hygiene,never,41-50,telugu,7,half yearly,never,twice,always,no,excellent,never,I,1.528409903
moderate,knowledge,moderate,8,not always,06-Aug,bad,never,31-40,telugu,7,annually,never,twice,never,no,can be improved,weekly,B,2.141191592
hard,knowledge,highly,10,not always,02-Mar,bad,sometimes,21-30,hindi,7,annually,twice,never,sometimes,yes,excellent,monthly,D,9.955579815
moderate,Assessment,moderate,6,no,02-Mar,bad,yes,31-40,hindi,6,Quarterly,twice,never,sometimes,no,good,weekly,B,1.848923655
moderate,learner,moderate,10,not always,04-May,hygiene,sometimes,21-30,hindi,5,half yearly,twice,once,always,no,good,never,B,7.160074168
hard,Assessment,not,6,not always,04-May,better,sometimes,31-40,telugu,6,Quarterly,never,once,never,yes,good,weekly,F,4.453765499
hard,knowledge,not,8,no,06-Aug,hygiene,never,21-30,telugu,5,half yearly,once,twice,sometimes,no,good,monthly,D,1.57463565
moderate,knowledge,moderate,10,not always,02-Mar,better,yes,41-50,telugu,5,half yearly,never,twice,always,no,good,never,K,9.869859988
easy,learner,not,8,not always,02-Mar,hygiene,yes,41-50,telugu,5,Quarterly,twice,once,always,yes,good,weekly,H,2.975003843
hard,knowledge,moderate,6,not always,04-May,better,sometimes,21-30,hindi,5,Quarterly,twice,never,always,yes,excellent,weekly,F,3.788201194
hard,learner,not,6,not always,06-Aug,bad,never,41-50,hindi,5,annually,twice,never,sometimes,yes,good,never,J,7.905394887
easy,Assessment,highly,8,yes,04-May,bad,sometimes,21-30,telugu,6,Quarterly,once,twice,sometimes,no,good,monthly,A,5.503893432
hard,Assessment,moderate,6,not always,02-Mar,bad,never,31-40,english,5,annually,never,never,always,no,good,never,H,6.023429781
moderate,Assessment,highly,10,yes,02-Mar,better,sometimes,41-50,hindi,6,annually,once,twice,never,no,good,weekly,C,6.880248672
hard,knowledge,moderate,10,not always,02-Mar,bad,yes,41-50,hindi,7,Quarterly,twice,never,sometimes,no,excellent,monthly,J,1.365129312
moderate,learner,not,10,not always,06-Aug,hygiene,sometimes,31-40,hindi,5,half yearly,once,once,sometimes,yes,good,never,K,5.890131657
moderate,Assessment,highly,8,not always,02-Mar,hygiene,never,41-50,telugu,7,Quarterly,never,never,never,no,excellent,never,C,5.896378307
hard,learner,moderate,8,yes,04-May,bad,sometimes,21-30,hindi,6,annually,never,twice,always,no,good,monthly,K,3.41982025
easy,knowledge,moderate,10,no,06-Aug,bad,sometimes,41-50,hindi,6,half yearly,once,twice,always,no,good,weekly,D,6.279725736
moderate,Assessment,not,10,not always,04-May,bad,sometimes,21-30,english,7,annually,once,never,never,yes,excellent,never,J,5.260398115
hard,knowledge,highly,10,yes,02-Mar,hygiene,yes,21-30,hindi,5,annually,never,twice,always,no,excellent,never,I,5.178963419
moderate,knowledge,not,10,not always,06-Aug,hygiene,sometimes,21-30,english,5,Quarterly,never,twice,never,yes,excellent,monthly,G,3.967936105
hard,Assessment,highly,8,no,04-May,better,sometimes,31-40,english,7,Quarterly,never,never,sometimes,no,can be improved,monthly,A,5.706082576
hard,Assessment,highly,8,not always,04-May,hygiene,yes,41-50,telugu,7,half yearly,once,never,never,no,excellent,weekly,H,9.059128869
hard,Assessment,moderate,8,not always,04-May,better,sometimes,41-50,hindi,7,annually,never,twice,never,no,excellent,never,I,3.980487994
moderate,learner,highly,10,no,02-Mar,better,sometimes,41-50,hindi,7,Quarterly,twice,never,never,yes,can be improved,monthly,I,6.063382588
hard,knowledge,not,10,no,04-May,bad,never,21-30,hindi,7,annually,once,once,always,no,good,monthly,E,2.360471122
easy,knowledge,moderate,8,yes,04-May,hygiene,never,21-30,english,7,annually,never,never,always,no,can be improved,monthly,A,7.149869613
hard,knowledge,moderate,8,yes,04-May,hygiene,yes,41-50,english,6,half yearly,once,never,never,no,good,monthly,K,7.018682979
hard,learner,not,10,not always,04-May,bad,yes,41-50,hindi,7,half yearly,once,never,sometimes,no,excellent,weekly,C,4.960223385
hard,knowledge,not,10,not always,02-Mar,better,never,41-50,telugu,6,annually,once,once,always,no,can be improved,weekly,K,5.226637854
moderate,knowledge,moderate,10,not always,02-Mar,bad,yes,21-30,english,7,annually,twice,once,never,no,can be improved,weekly,A,1.077285007
hard,knowledge,not,6,not always,06-Aug,bad,never,31-40,english,7,half yearly,twice,never,never,yes,good,never,K,9.380988427
moderate,knowledge,not,8,not always,04-May,better,never,21-30,telugu,5,half yearly,twice,twice,sometimes,yes,excellent,weekly,A,1.182457922
moderate,knowledge,moderate,10,not always,06-Aug,better,never,31-40,hindi,7,annually,once,once,never,yes,can be improved,never,G,5.819779545
easy,learner,not,8,no,04-May,better,never,41-50,english,6,half yearly,once,never,never,no,good,weekly,K,7.462750882
hard,Assessment,highly,8,no,02-Mar,bad,sometimes,31-40,hindi,5,annually,never,twice,never,no,good,weekly,F,9.658198953
easy,learner,moderate,10,not always,06-Aug,hygiene,never,41-50,english,5,half yearly,never,never,always,yes,excellent,never,K,9.387882842
easy,knowledge,moderate,8,no,06-Aug,bad,yes,31-40,hindi,5,annually,once,twice,never,yes,excellent,weekly,C,7.171848741
moderate,knowledge,not,6,no,04-May,better,yes,21-30,hindi,7,half yearly,twice,twice,never,no,good,weekly,K,4.772791027
easy,Assessment,not,6,not always,04-May,bad,yes,31-40,english,5,half yearly,once,never,always,yes,good,weekly,D,2.072574893
easy,knowledge,highly,10,yes,02-Mar,hygiene,never,41-50,english,7,half yearly,once,never,sometimes,no,excellent,never,G,9.22007857
hard,knowledge,moderate,8,yes,04-May,bad,sometimes,41-50,telugu,6,Quarterly,twice,twice,sometimes,yes,can be improved,never,B,6.072386219
hard,learner,highly,10,not always,06-Aug,better,yes,41-50,telugu,7,annually,twice,never,always,yes,good,monthly,I,8.316805295
hard,knowledge,moderate,6,not always,06-Aug,better,yes,41-50,telugu,7,annually,never,once,sometimes,yes,good,never,I,3.936625018
easy,learner,highly,10,not always,04-May,hygiene,never,31-40,hindi,5,Quarterly,once,twice,sometimes,no,can be improved,never,K,3.979569516
easy,learner,highly,8,yes,04-May,bad,sometimes,31-40,telugu,7,annually,once,twice,always,yes,can be improved,monthly,A,8.853723866
easy,learner,highly,10,no,02-Mar,bad,never,31-40,telugu,7,annually,never,twice,sometimes,yes,excellent,weekly,K,2.026024023
moderate,Assessment,highly,6,no,06-Aug,hygiene,never,21-30,telugu,6,annually,never,twice,always,no,excellent,weekly,F,2.430906394
hard,Assessment,moderate,8,yes,06-Aug,bad,sometimes,41-50,hindi,5,Quarterly,once,twice,never,no,can be improved,never,D,9.176146198
moderate,Assessment,moderate,6,not always,04-May,hygiene,sometimes,31-40,english,6,half yearly,once,once,sometimes,yes,excellent,monthly,J,3.029150747
easy,learner,moderate,8,not always,02-Mar,hygiene,sometimes,31-40,telugu,6,half yearly,twice,never,never,no,excellent,weekly,K,5.799311617
easy,Assessment,highly,6,no,02-Mar,better,yes,41-50,telugu,5,Quarterly,twice,twice,sometimes,yes,good,monthly,I,3.861759555
easy,Assessment,not,10,no,04-May,bad,sometimes,31-40,english,6,half yearly,once,never,never,yes,good,monthly,B,9.747837759
easy,Assessment,highly,10,yes,06-Aug,better,yes,31-40,hindi,7,Quarterly,once,twice,always,no,excellent,never,A,9.731768403
hard,Assessment,moderate,6,no,06-Aug,bad,sometimes,21-30,telugu,7,half yearly,once,twice,sometimes,yes,excellent,monthly,I,6.785861362
easy,Assessment,moderate,8,no,06-Aug,bad,sometimes,31-40,hindi,7,annually,once,never,always,yes,excellent,monthly,D,1.882882491
moderate,learner,moderate,10,not always,06-Aug,hygiene,never,31-40,hindi,6,Quarterly,never,never,never,yes,good,weekly,B,4.015028992
moderate,knowledge,not,10,yes,04-May,better,sometimes,31-40,english,5,annually,twice,once,sometimes,no,excellent,monthly,D,1.902326214
moderate,knowledge,highly,10,no,04-May,better,yes,41-50,english,5,half yearly,once,once,sometimes,no,excellent,monthly,I,3.534746574
easy,learner,highly,6,yes,06-Aug,bad,sometimes,21-30,telugu,6,Quarterly,twice,twice,never,yes,can be improved,monthly,A,7.072979527
easy,learner,highly,10,no,04-May,bad,yes,41-50,hindi,5,half yearly,twice,never,always,yes,can be improved,weekly,A,9.072625876
easy,Assessment,not,10,yes,04-May,better,never,21-30,telugu,6,half yearly,never,once,never,yes,can be improved,monthly,K,2.431323221
moderate,knowledge,moderate,6,yes,04-May,hygiene,yes,31-40,english,7,Quarterly,twice,twice,sometimes,no,can be improved,weekly,G,6.739488497
easy,knowledge,moderate,6,yes,06-Aug,hygiene,never,21-30,hindi,6,half yearly,twice,once,always,yes,good,weekly,K,1.384216326
easy,learner,highly,6,yes,02-Mar,better,sometimes,21-30,english,7,Quarterly,once,once,always,no,good,weekly,D,9.785212764
hard,learner,not,8,yes,06-Aug,bad,yes,21-30,hindi,7,half yearly,once,never,never,yes,can be improved,never,D,7.472457675
hard,knowledge,not,8,not always,02-Mar,hygiene,sometimes,21-30,telugu,7,half yearly,twice,once,always,yes,can be improved,weekly,H,3.331572604
hard,learner,highly,10,no,06-Aug,bad,never,41-50,english,6,Quarterly,twice,never,never,no,excellent,never,J,1.588599565
moderate,learner,moderate,8,yes,02-Mar,bad,never,41-50,telugu,7,Quarterly,never,twice,sometimes,yes,can be improved,monthly,J,5.900463956
moderate,knowledge,moderate,6,yes,02-Mar,better,yes,41-50,telugu,6,half yearly,never,twice,always,yes,can be improved,monthly,I,3.739067324
moderate,knowledge,moderate,10,yes,02-Mar,hygiene,sometimes,31-40,english,5,Quarterly,never,twice,never,no,excellent,weekly,K,5.18768121
hard,knowledge,not,8,not always,06-Aug,better,sometimes,31-40,telugu,6,half yearly,twice,twice,never,no,can be improved,monthly,I,2.409128989
hard,learner,highly,6,yes,02-Mar,better,never,31-40,telugu,6,annually,never,twice,sometimes,yes,excellent,weekly,J,1.72810032
moderate,learner,highly,10,not always,04-May,bad,never,41-50,english,7,half yearly,never,never,never,yes,can be improved,monthly,F,9.593824965
moderate,knowledge,moderate,8,no,04-May,better,sometimes,21-30,telugu,5,Quarterly,twice,twice,sometimes,no,can be improved,monthly,D,1.586900562
moderate,learner,highly,6,not always,06-Aug,hygiene,sometimes,21-30,telugu,7,half yearly,never,once,always,no,excellent,weekly,F,5.644488239
easy,learner,moderate,10,not always,06-Aug,hygiene,sometimes,41-50,english,6,annually,once,never,sometimes,yes,excellent,never,B,2.233532091
hard,learner,highly,8,not always,02-Mar,hygiene,sometimes,41-50,telugu,5,half yearly,never,once,never,yes,good,monthly,I,2.217945251
easy,knowledge,highly,10,no,02-Mar,better,sometimes,21-30,english,6,Quarterly,twice,once,sometimes,yes,good,weekly,H,4.704474215
easy,knowledge,highly,10,no,02-Mar,bad,yes,41-50,hindi,7,half yearly,once,never,sometimes,yes,can be improved,monthly,I,4.706847285
hard,knowledge,highly,10,no,06-Aug,better,yes,41-50,telugu,6,annually,never,twice,sometimes,yes,excellent,monthly,H,4.648319654
moderate,knowledge,moderate,10,yes,06-Aug,bad,yes,41-50,hindi,7,annually,never,once,never,no,can be improved,never,C,2.955635445
hard,knowledge,not,8,no,02-Mar,hygiene,sometimes,21-30,english,7,annually,never,twice,always,yes,good,monthly,K,6.038027815
hard,knowledge,not,10,yes,02-Mar,better,never,31-40,english,7,half yearly,never,never,sometimes,no,good,never,I,8.443613589
hard,knowledge,moderate,8,no,02-Mar,better,sometimes,41-50,hindi,7,Quarterly,once,once,never,no,good,monthly,D,8.540895255
hard,learner,highly,8,no,06-Aug,better,sometimes,31-40,hindi,7,Quarterly,once,never,never,no,good,never,B,8.71793546
moderate,knowledge,moderate,8,no,04-May,bad,never,41-50,telugu,6,annually,twice,twice,never,no,can be improved,never,F,8.502795319
hard,Assessment,not,6,yes,04-May,bad,never,31-40,hindi,7,annually,twice,never,sometimes,yes,excellent,weekly,J,2.624936122
hard,learner,not,6,no,06-Aug,better,never,21-30,english,5,half yearly,never,never,always,yes,good,never,C,9.124185494
easy,Assessment,not,6,yes,06-Aug,better,never,31-40,english,5,Quarterly,never,once,never,yes,excellent,monthly,A,1.890627795
moderate,knowledge,highly,10,yes,04-May,bad,yes,31-40,english,5,annually,twice,once,always,no,can be improved,never,G,3.421615319
moderate,learner,not,10,no,06-Aug,hygiene,sometimes,21-30,telugu,5,half yearly,never,twice,never,no,can be improved,weekly,G,5.973634319
hard,learner,moderate,10,not always,02-Mar,better,sometimes,41-50,english,7,half yearly,twice,twice,never,yes,excellent,monthly,F,7.213127442
moderate,learner,not,8,no,04-May,hygiene,yes,41-50,english,7,half yearly,never,twice,sometimes,yes,excellent,monthly,C,1.459041469
hard,Assessment,not,8,not always,04-May,hygiene,sometimes,31-40,telugu,5,Quarterly,never,never,always,no,can be improved,monthly,E,6.56382692
moderate,knowledge,moderate,10,no,06-Aug,hygiene,never,21-30,telugu,5,half yearly,twice,never,sometimes,no,can be improved,never,I,4.328183968
moderate,learner,not,6,yes,04-May,hygiene,yes,31-40,english,7,annually,twice,once,never,no,can be improved,monthly,K,2.473671831
moderate,Assessment,highly,10,no,06-Aug,better,yes,41-50,telugu,7,Quarterly,never,never,never,yes,excellent,weekly,C,5.48204678
hard,learner,moderate,10,not always,02-Mar,better,never,21-30,telugu,6,half yearly,twice,twice,always,yes,can be improved,never,B,7.702930332
moderate,Assessment,not,8,not always,04-May,hygiene,never,31-40,hindi,7,annually,once,never,always,no,can be improved,never,K,4.361582265
easy,Assessment,not,6,yes,06-Aug,hygiene,never,21-30,telugu,7,annually,once,once,sometimes,no,can be improved,never,J,2.635989352
hard,Assessment,moderate,6,not always,06-Aug,bad,never,31-40,hindi,5,half yearly,twice,twice,sometimes,yes,good,never,A,9.944107006
hard,learner,not,10,not always,02-Mar,bad,sometimes,31-40,hindi,5,Quarterly,twice,never,never,yes,good,weekly,I,8.874857569
easy,Assessment,highly,8,yes,02-Mar,bad,yes,41-50,hindi,7,annually,once,twice,sometimes,no,good,weekly,I,1.419430986
hard,knowledge,not,10,no,04-May,better,yes,41-50,hindi,6,annually,twice,never,sometimes,yes,can be improved,never,J,6.062368247
easy,learner,moderate,6,yes,04-May,better,yes,41-50,telugu,7,annually,never,never,always,no,excellent,monthly,H,8.493123233
moderate,Assessment,moderate,10,not always,02-Mar,better,never,31-40,english,6,Quarterly,twice,twice,sometimes,yes,excellent,weekly,B,3.630180531
hard,Assessment,moderate,10,yes,06-Aug,hygiene,yes,31-40,english,5,annually,once,twice,always,no,can be improved,weekly,I,8.142865296
easy,knowledge,moderate,8,not always,02-Mar,hygiene,sometimes,31-40,hindi,5,annually,once,twice,never,yes,excellent,never,J,9.084158334
easy,knowledge,not,6,no,04-May,hygiene,never,31-40,english,7,Quarterly,never,never,sometimes,no,excellent,weekly,H,1.19696993
hard,knowledge,highly,6,no,06-Aug,better,never,41-50,telugu,7,annually,never,never,sometimes,yes,can be improved,monthly,G,9.915063925
moderate,Assessment,highly,8,yes,02-Mar,better,yes,41-50,telugu,6,annually,twice,never,never,no,can be improved,monthly,I,7.375978028
easy,knowledge,not,6,yes,06-Aug,hygiene,yes,41-50,english,7,annually,once,never,always,yes,good,monthly,I,5.337879777
moderate,learner,moderate,6,not always,02-Mar,bad,sometimes,41-50,english,7,Quarterly,never,twice,never,no,can be improved,never,E,4.067283268
hard,knowledge,moderate,8,yes,02-Mar,bad,yes,41-50,english,5,annually,never,once,never,yes,good,never,F,8.769205903
hard,learner,not,8,not always,02-Mar,bad,sometimes,41-50,hindi,6,Quarterly,once,twice,always,yes,excellent,never,B,5.548180314
moderate,learner,not,10,not always,06-Aug,bad,yes,21-30,english,7,Quarterly,once,once,never,yes,good,weekly,K,8.818239442
moderate,knowledge,highly,6,yes,04-May,better,yes,41-50,english,5,Quarterly,never,never,always,yes,excellent,monthly,A,7.242536367
easy,learner,not,10,not always,02-Mar,bad,sometimes,41-50,hindi,7,half yearly,once,once,sometimes,yes,good,weekly,E,8.116314094
easy,learner,highly,6,no,04-May,bad,yes,41-50,telugu,7,annually,never,never,never,no,can be improved,weekly,E,7.004913137
easy,Assessment,not,10,not always,02-Mar,better,never,21-30,english,5,annually,once,never,never,no,good,never,A,9.505766643
hard,Assessment,not,10,not always,04-May,better,never,31-40,hindi,5,half yearly,once,once,never,no,excellent,weekly,H,4.96989149
hard,Assessment,highly,6,yes,04-May,hygiene,yes,41-50,hindi,7,Quarterly,twice,once,always,no,can be improved,monthly,K,3.837253579
easy,Assessment,not,6,no,02-Mar,hygiene,never,31-40,hindi,6,Quarterly,never,once,sometimes,no,excellent,weekly,J,5.136691506
moderate,knowledge,not,10,yes,02-Mar,hygiene,yes,41-50,hindi,7,annually,never,once,always,yes,excellent,monthly,E,2.596277677
moderate,knowledge,not,10,no,04-May,better,never,31-40,hindi,6,half yearly,never,twice,never,yes,good,never,E,9.727882146
moderate,learner,not,10,no,06-Aug,bad,never,21-30,telugu,6,Quarterly,never,once,sometimes,no,excellent,never,G,9.913526815
easy,Assessment,moderate,8,not always,02-Mar,better,sometimes,21-30,telugu,7,half yearly,never,never,sometimes,no,good,weekly,I,7.286198088
easy,Assessment,moderate,8,no,06-Aug,hygiene,sometimes,21-30,hindi,6,annually,never,twice,never,yes,can be improved,monthly,B,7.349954146
easy,knowledge,not,8,not always,04-May,bad,sometimes,31-40,telugu,6,annually,once,never,never,yes,excellent,never,H,2.198207413
hard,Assessment,highly,10,yes,04-May,better,yes,41-50,english,7,half yearly,twice,never,never,yes,excellent,never,H,2.68246684
hard,learner,not,8,not always,02-Mar,bad,yes,21-30,telugu,6,Quarterly,twice,once,sometimes,no,can be improved,never,G,5.782063928
easy,learner,highly,6,yes,04-May,hygiene,never,31-40,telugu,6,annually,never,never,sometimes,no,excellent,never,F,3.195920506
hard,learner,highly,10,yes,02-Mar,hygiene,sometimes,31-40,telugu,6,Quarterly,once,twice,sometimes,no,excellent,weekly,A,7.313886474
moderate,knowledge,not,6,no,06-Aug,bad,yes,31-40,english,7,half yearly,twice,twice,sometimes,no,excellent,weekly,B,9.186643656
hard,knowledge,highly,8,no,06-Aug,bad,yes,31-40,telugu,6,half yearly,never,twice,never,no,can be improved,never,I,3.188128931
easy,learner,moderate,6,yes,04-May,better,sometimes,41-50,hindi,7,Quarterly,never,never,sometimes,yes,good,never,H,9.051236259
moderate,learner,highly,10,not always,06-Aug,hygiene,sometimes,41-50,telugu,5,annually,once,twice,never,no,good,never,C,7.160268587
easy,learner,moderate,8,no,04-May,better,never,21-30,telugu,6,Quarterly,twice,once,sometimes,no,good,never,F,5.641136597
easy,knowledge,highly,10,no,02-Mar,bad,never,31-40,hindi,7,annually,once,twice,sometimes,no,good,never,F,2.176074626
easy,learner,not,10,yes,04-May,hygiene,never,31-40,english,5,Quarterly,never,once,always,yes,good,monthly,B,6.032456606
hard,knowledge,highly,8,no,02-Mar,bad,yes,41-50,telugu,5,annually,never,once,never,no,can be improved,never,G,4.564529809
hard,Assessment,highly,6,yes,06-Aug,better,yes,41-50,english,5,Quarterly,twice,once,never,no,good,weekly,J,4.19963378
easy,learner,moderate,8,no,04-May,bad,never,21-30,english,6,half yearly,never,twice,never,no,can be improved,never,G,5.475166371
moderate,knowledge,highly,10,yes,04-May,bad,never,41-50,english,7,annually,twice,never,never,no,good,monthly,G,1.840028075
moderate,knowledge,highly,10,no,02-Mar,bad,never,21-30,english,7,Quarterly,never,never,sometimes,no,good,weekly,E,8.835210412
hard,learner,moderate,6,not always,06-Aug,bad,sometimes,21-30,telugu,7,half yearly,once,once,never,yes,excellent,never,D,3.939083749
hard,knowledge,moderate,6,not always,06-Aug,better,sometimes,41-50,hindi,7,annually,never,once,always,yes,excellent,monthly,B,2.155726697
easy,Assessment,highly,8,no,06-Aug,hygiene,sometimes,41-50,hindi,7,annually,never,once,never,yes,can be improved,weekly,A,6.274651031
moderate,knowledge,moderate,10,yes,04-May,hygiene,yes,21-30,telugu,6,annually,once,twice,never,yes,can be improved,never,H,9.653726851
moderate,learner,moderate,8,yes,06-Aug,hygiene,yes,21-30,telugu,6,Quarterly,twice,twice,sometimes,no,good,weekly,K,7.921214333
easy,Assessment,not,10,not always,02-Mar,better,yes,41-50,english,7,annually,once,never,never,no,can be improved,monthly,D,9.858146848
moderate,Assessment,not,10,no,06-Aug,hygiene,yes,41-50,telugu,5,annually,never,never,never,yes,good,never,C,8.041968416
hard,knowledge,moderate,10,no,04-May,hygiene,sometimes,31-40,hindi,6,half yearly,never,never,always,no,good,weekly,J,5.694365487
easy,learner,highly,10,no,02-Mar,hygiene,never,21-30,hindi,5,Quarterly,never,twice,sometimes,no,excellent,never,G,9.1483415
easy,Assessment,not,8,no,04-May,hygiene,sometimes,21-30,english,5,Quarterly,never,twice,sometimes,yes,good,monthly,D,2.614595069
hard,learner,not,10,yes,04-May,better,never,31-40,telugu,7,annually,never,once,never,yes,can be improved,monthly,J,1.681675614
easy,learner,not,8,yes,04-May,hygiene,sometimes,41-50,hindi,6,half yearly,never,twice,sometimes,no,good,monthly,D,1.821002579
easy,learner,moderate,6,not always,04-May,hygiene,never,41-50,hindi,6,half yearly,once,once,sometimes,yes,can be improved,weekly,J,1.972300018
easy,learner,highly,8,not always,02-Mar,better,yes,41-50,telugu,6,Quarterly,never,never,sometimes,no,excellent,weekly,G,9.080688622
